date,time,ticket,role,adapter,prompt_version,turns,cost_usd,exit_status
2026-07-12,08:03:32,T-101,test-author,codex,1,1,0.3501,0
2026-07-12,08:06:13,T-101,builder,claude-code,1,3,0.6907800000000001,7
2026-07-12,08:07:46,T-101,builder,claude-code,1,7,1.484044,0
2026-07-12,08:11:42,T-101,reviewer,codex,1,1,0.7345,0
2026-07-12,08:22:15,T-101,test-author,codex,1,1,0.2515,0
2026-07-12,08:24:50,T-101,reviewer,codex,1,1,0.3489,0
2026-07-12,08:27:20,T-101,narrator,claude-code,1,8,0.9962,0
2026-07-12,21:01:57,T-102,planner,claude-code,1,12,0.3306252,0
2026-07-12,21:06:49,T-102,test-author,codex,1,1,0.2296,0
2026-07-12,21:10:01,T-102,builder,claude-code,1,24,0.6861495,0
2026-07-12,21:14:32,T-102,reviewer,codex,1,1,0.1776,0
2026-07-12,21:17:55,T-102,test-author,codex,1,1,0.1672,0
2026-07-12,21:19:36,T-102,reviewer,codex,1,1,0.1258,0
2026-07-12,21:23:36,T-102,narrator,claude-code,1,24,0.8123735,0
2026-07-12,22:16:18,T-103,planner,claude-code,1,30,1.0881249,0
2026-07-12,22:24:08,T-103,test-author,codex,1,1,0.4749,0
2026-07-12,22:27:01,T-103,test-author,codex,1,1,0.4943,0
2026-07-12,22:33:46,T-103,builder,claude-code,1,20,0.5681364000000001,0
2026-07-12,22:36:03,T-103,reviewer,codex,1,1,0.2206,0
2026-07-12,22:38:48,T-103,test-author,codex,1,1,0.2461,0
2026-07-12,22:40:20,T-103,reviewer,codex,1,1,0.1490,0
2026-07-12,22:43:55,T-103,narrator,claude-code,1,21,0.6907641999999999,0
